 24 0
168 2 135696
169 3 135939
1694 1 136304
169x0201338 1 136425
16bed 1 136547
16x0201320 1 136669
17 20 136791
170 2 139437
1700 1 139686
171 4 139808
17125 1 140309
172 1 140431
173 2 140563
1731 1 140806
1735 1 140928
174 3 141050
175 1 141414
175x02013366 1 141536
176 4 141658
177 3 142149
178 2 142518
1789 1 142762
178x02013352 1 142884
179 1 143006
179x02013315 1 143128
17link 1 143250
17q21 1 143372
17x0201322 1 143505
17x02013341 1 143635
17x0201344 1 143757
17x0201383 1 143879
18 23 144004
180 3 147077
1807 1 147442
1817 1 147564
182 1 147684
183 2 147806
18326 1 148048
184x02013259 1 148169
185 1 148291
1869 1 148413
187 1 148534
1878 1 148655
188 2 148779
189 2 149023
18920 1 149267
18x0201321 1 149389
18x0201336 1 149510
19 19 149631
190 2 152191
191 3 152431
1912 1 152795
192 2 152917
1922 1 153160
194 3 153282
195 2 153656
196 1 153900
1970 2 154020
1974 1 154264
198 3 154385
1980 1 154750
1981 1 154870
1983 1 154991
1984 1 155113
1985 2 155242
1987 1 155485
1988 1 155607
1988x020131990 1 155749
1989 1 155870
199 1 155991
1991 4 156113
19911 1 156596
1992 3 156717
1994 2 157088
1995 4 157331
1996 5 157827
1997 2 158444
1998 4 158690
1998x020132001 1 159195
1999 5 159328
19x0201383 1 159945
1a 3 160066
1b 3 160435
1c 1 160804
1hz 1 160925
1x020133 3 161047
1x0201331 1 161412
1x020138 1 161533
2 24 161655
20 20 165830
200 6 168642
2000 7 169420
20000 1 170301
20002001 1 170423
2000x020132002 1 170545
2000x0201330 1 170666
2001 8 170790
2002 7 171815
2003 5 172714
2004 3 173409
2005 4 173844
2006 1 174407
2007 1 174585
201 1 174707
2010 1 174829
202 2 174950
2030 2 175194
203x02013355 1 175436
204 1 175557
20411 1 175678
205 1 175799
2050fold 1 175925
206 1 176045
207 1 176166
20x000b0c 1 176287
20x000d7 1 176408
20x0201324 1 176537
21 19 176659
210110 1 179258
211 2 179379
2110 1 179623
2111 1 179744
212 4 179866
213 1 180352
215 1 180474
215x000c5 1 180596
218 1 180716
2181 1 180843
219 1 180963
22 19 181090
221 1 183589
222 2 183711
2222 1 183960
223 1 184082
224 1 184203
226 3 184324
2281 1 184707
229 1 184828
2295 1 184950
22gaug 1 185072
22x0201323 1 185192
23 21 185314
230 2 188132
231 2 188376
2317 1 188625
232 3 188747
2321 1 189113
233 1 189235
234 2 189357
235 3 189601
2352 1 189969
23529 1 190091
236 1 190212
237 1 190333
238 2 190454
2388 1 190695
239 2 190816
23a 1 191070
23x0201336 1 191191
24 20 191317
240 1 194014
2413 1 194135
242 2 194255
244 1 194497
2441 1 194619
245 1 194741
246 2 194862
248 1 195110
24x0201331 1 195237
25 20 195359
250 4 198112
250000 2 198619
251 1 198860
253 1 198982
255 1 199104
256 1 199226
257 1 199348
2573 1 199470
258 1 199592
259 1 199712
25th 1 199834
25x000b0c 1 199956
25x0201330 1 200077
25x0201375 1 200198
26 19 200320
261 1 202793
262 1 202914
263 1 203034
2632376 1 203160
2640 1 203279
264x02013429 1 203401
265 2 203523
265x02013551 1 203767
266 1 203889
2667 1 204009
267 1 204136
268 1 204262
269 1 204383
27 19 204504
270 1 206978
271 1 207098
272 1 207220
273 2 207342
274x02013293 1 207586
275 2 207708
276 1 207956
277 2 208078
2778 1 208325
278 1 208447
2780x000d7 1 208569
279 3 208694
28 17 209062
280 2 211332
2800 1 211579
282 1 211699
283 1 211820
284 1 211946
285 2 212068
286 1 212317
287 1 212437
288 2 212559
289 2 212807
28dai 1 213049
29 22 213183
290 2 216079
292 1 216321
2930 1 216443
297 2 216569
29x0201335 1 216811
29x0201356 1 216932
2a 2 217054
2b 2 217297
2c 1 217540
2context 1 217661
2deoxy2fluoro 1 217782
2fold 1 217909
2mercaptoethanesulfon 1 218039
2point 1 218165
2sd 1 218290
2x020135 1 218411
2x020137 1 218538
3 24 218660
30 21 222444
300 4 225256
3000 1 225749
30000 1 225876
301 1 225997
302 2 226122
3026 1 226365
304 2 226487
30410 1 226731
305 2 226852
3063 1 227094
308 1 227216
30dai 1 227337
30fold 1 227459
30x0201340 1 227580
30yearold 1 227701
31 16 227822
311 1 229919
312 1 230040
316x02013335 1 230162
317 1 230284
32 17 230411
320 1 232693
322 2 232815
323 1 233058
324 1 233180
324x02013340 1 233302
325 3 233424
32602 1 233788
327 1 233909
329 1 234030
33 17 234152
332 1 236409
3329 1 236549
333 1 236669
334 1 236794
